"Census.Tract","percent_households"
"Census Tract 101",13.4762633996937
"Census Tract 102.01",8.85188431200701
"Census Tract 102.02",11.1638954869359
"Census Tract 103",13.1856540084388
"Census Tract 104",13.1832797427653
"Census Tract 105.01",13.7784090909091
"Census Tract 105.02",13.8276553106212
"Census Tract 105.03",6.47249190938511
"Census Tract 106",11.9853613906679
"Census Tract 107.01",10.2816901408451
"Census Tract 107.02",12.1437422552664
"Census Tract 201",6.26822157434402
"Census Tract 202",1.59304851556843
"Census Tract 203.01",1.62767039674466
"Census Tract 203.02",4.62555066079295
"Census Tract 204",4.97175141242938
"Census Tract 205",3.7392138063279
"Census Tract 206.01",1.12359550561798
"Census Tract 206.02",5.01835985312117
"Census Tract 207.01",4.17690417690418
"Census Tract 207.02",2.18209179834462
"Census Tract 208.01",4.97560975609756
"Census Tract 208.02",3.47758887171561
"Census Tract 209.01",3.39342523860021
"Census Tract 209.02",5.51523947750363
"Census Tract 301.01",15.4779969650986
"Census Tract 301.02",15.2329749103943
"Census Tract 301.03",14.6118721461187
"Census Tract 301.04",8.36820083682008
"Census Tract 302",17.4267100977199
"Census Tract 303",9.80735551663748
"Census Tract 304",27.1428571428571
"Census Tract 305",23.7845923709798
"Census Tract 306.01",14.4620811287478
"Census Tract 306.03",15.3846153846154
"Census Tract 306.04",13.4556574923547
"Census Tract 307.01",21.6216216216216
"Census Tract 307.02",13.953488372093
"Census Tract 307.03",22.9422066549912
"Census Tract 307.06",18.5258964143426
"Census Tract 308",23.8336713995943
"Census Tract 309",22.5663716814159
"Census Tract 310",17.1717171717172
"Census Tract 311",24.6346555323591
"Census Tract 312",17.7353342428377
"Census Tract 313",14.4239226033421
"Census Tract 314",16.1425576519916
"Census Tract 315.01",12.8595600676819
"Census Tract 315.02",14.7988505747126
"Census Tract 317",18.9873417721519
"Census Tract 318",10.2941176470588
"Census Tract 319",8
"Census Tract 321",14.4435674822415
"Census Tract 401",12.2641509433962
"Census Tract 402.01",5.11896178803172
"Census Tract 402.02",3.29094988780853
"Census Tract 403",4.55259026687598
"Census Tract 404.01",7.33333333333333
"Census Tract 404.02",8.44939647168059
"Census Tract 406",6.22710622710623
"Census Tract 407",4.65994962216625
"Census Tract 408",4.82233502538071
"Census Tract 409",5.86854460093897
"Census Tract 501",4.04721753794266
"Census Tract 502",3.02521008403361
"Census Tract 503",3.98724082934609
"Census Tract 505",3.52348993288591
"Census Tract 506",5.12820512820513
"Census Tract 507",3.53535353535354
"Census Tract 508",2.89389067524116
"Census Tract 509",1.23839009287926
"Census Tract 510",1.67597765363128
"Census Tract 511",4.73815461346633
"Census Tract 512",2.90697674418605
"Census Tract 513",2.93296089385475
"Census Tract 514",3.49907918968692
"Census Tract 601",4.28790199081164
"Census Tract 602",6.81362725450902
"Census Tract 603",3.49344978165939
"Census Tract 604",4.05244338498212
"Census Tract 605",5.12820512820513
"Census Tract 608",14.7058823529412
"Census Tract 609",15.7551020408163
"Census Tract 610",21.5736040609137
"Census Tract 611",4.20560747663551
"Census Tract 612",5
"Census Tract 615",5.78034682080925
"Census Tract 618",24.3093922651934
"Census Tract 619.01",14.5242070116861
"Census Tract 619.02",12.9135538954109
"Census Tract 620",18.4357541899441
