"Census.Tract","County","State","percent","Opposite.sex.spouse","Same.sex.spouse","Opposite.sex.unmarried.partner","Same.sex.unmarried.partner","total","total.same.sex","percent_households"
"Census Tract 101","Cook County","Illinois","13.48%",408,46,157,42,653,88,13.4762633996937
"Census Tract 102.01","Cook County","Illinois","8.85%",842,62,198,39,1141,101,8.85188431200701
"Census Tract 102.02","Cook County","Illinois","11.16%",277,32,97,15,421,47,11.1638954869359
"Census Tract 103","Cook County","Illinois","13.19%",630,67,193,58,948,125,13.1856540084388
"Census Tract 104","Cook County","Illinois","13.18%",384,42,156,40,622,82,13.1832797427653
"Census Tract 105.01","Cook County","Illinois","13.78%",434,49,173,48,704,97,13.7784090909091
"Census Tract 105.02","Cook County","Illinois","13.83%",317,35,113,34,499,69,13.8276553106212
"Census Tract 105.03","Cook County","Illinois","6.47%",226,10,63,10,309,20,6.47249190938511
"Census Tract 106","Cook County","Illinois","11.99%",673,61,289,70,1093,131,11.9853613906679
"Census Tract 107.01","Cook County","Illinois","10.28%",533,54,104,19,710,73,10.2816901408451
"Census Tract 107.02","Cook County","Illinois","12.14%",540,42,169,56,807,98,12.1437422552664
"Census Tract 201","Cook County","Illinois","6.27%",537,21,106,22,686,43,6.26822157434402
"Census Tract 202","Cook County","Illinois","1.59%",1280,14,79,8,1381,22,1.59304851556843
"Census Tract 203.01","Cook County","Illinois","1.63%",933,8,34,8,983,16,1.62767039674466
"Census Tract 203.02","Cook County","Illinois","4.63%",779,27,87,15,908,42,4.62555066079295
"Census Tract 204","Cook County","Illinois","4.97%",741,32,100,12,885,44,4.97175141242938
"Census Tract 205","Cook County","Illinois","3.74%",878,17,126,22,1043,39,3.7392138063279
"Census Tract 206.01","Cook County","Illinois","1.12%",1077,11,67,2,1157,13,1.12359550561798
"Census Tract 206.02","Cook County","Illinois","5.02%",722,32,54,9,817,41,5.01835985312117
"Census Tract 207.01","Cook County","Illinois","4.18%",356,11,34,6,407,17,4.17690417690418
"Census Tract 207.02","Cook County","Illinois","2.18%",1216,18,84,11,1329,29,2.18209179834462
"Census Tract 208.01","Cook County","Illinois","4.98%",855,30,119,21,1025,51,4.97560975609756
"Census Tract 208.02","Cook County","Illinois","3.48%",1156,29,93,16,1294,45,3.47758887171561
"Census Tract 209.01","Cook County","Illinois","3.39%",787,20,124,12,943,32,3.39342523860021
"Census Tract 209.02","Cook County","Illinois","5.52%",591,13,60,25,689,38,5.51523947750363
"Census Tract 301.01","Cook County","Illinois","15.48%",444,56,113,46,659,102,15.4779969650986
"Census Tract 301.02","Cook County","Illinois","15.23%",373,47,100,38,558,85,15.2329749103943
"Census Tract 301.03","Cook County","Illinois","14.61%",136,13,51,19,219,32,14.6118721461187
"Census Tract 301.04","Cook County","Illinois","8.37%",163,13,56,7,239,20,8.36820083682008
"Census Tract 302","Cook County","Illinois","17.43%",840,123,174,91,1228,214,17.4267100977199
"Census Tract 303","Cook County","Illinois","9.81%",420,32,95,24,571,56,9.80735551663748
"Census Tract 304","Cook County","Illinois","27.14%",328,95,80,57,560,152,27.1428571428571
"Census Tract 305","Cook County","Illinois","23.78%",772,182,247,136,1337,318,23.7845923709798
"Census Tract 306.01","Cook County","Illinois","14.46%",408,52,77,30,567,82,14.4620811287478
"Census Tract 306.03","Cook County","Illinois","15.38%",180,30,73,16,299,46,15.3846153846154
"Census Tract 306.04","Cook County","Illinois","13.46%",467,40,99,48,654,88,13.4556574923547
"Census Tract 307.01","Cook County","Illinois","21.62%",120,22,54,26,222,48,21.6216216216216
"Census Tract 307.02","Cook County","Illinois","13.95%",312,40,58,20,430,60,13.953488372093
"Census Tract 307.03","Cook County","Illinois","22.94%",351,61,89,70,571,131,22.9422066549912
"Census Tract 307.06","Cook County","Illinois","18.53%",339,44,70,49,502,93,18.5258964143426
"Census Tract 308","Cook County","Illinois","23.83%",596,122,155,113,986,235,23.8336713995943
"Census Tract 309","Cook County","Illinois","22.57%",413,80,112,73,678,153,22.5663716814159
"Census Tract 310","Cook County","Illinois","17.17%",548,85,190,68,891,153,17.1717171717172
"Census Tract 311","Cook County","Illinois","24.63%",489,113,233,123,958,236,24.6346555323591
"Census Tract 312","Cook County","Illinois","17.74%",443,79,160,51,733,130,17.7353342428377
"Census Tract 313","Cook County","Illinois","14.42%",759,95,214,69,1137,164,14.4239226033421
"Census Tract 314","Cook County","Illinois","16.14%",592,95,208,59,954,154,16.1425576519916
"Census Tract 315.01","Cook County","Illinois","12.86%",397,32,118,44,591,76,12.8595600676819
"Census Tract 315.02","Cook County","Illinois","14.80%",386,47,207,56,696,103,14.7988505747126
"Census Tract 317","Cook County","Illinois","18.99%",630,108,266,102,1106,210,18.9873417721519
"Census Tract 318","Cook County","Illinois","10.29%",278,22,88,20,408,42,10.2941176470588
"Census Tract 319","Cook County","Illinois","8.00%",352,24,108,16,500,40,8
"Census Tract 321","Cook County","Illinois","14.44%",762,88,322,95,1267,183,14.4435674822415
"Census Tract 401","Cook County","Illinois","12.26%",597,67,147,37,848,104,12.2641509433962
"Census Tract 402.01","Cook County","Illinois","5.12%",1053,38,263,33,1387,71,5.11896178803172
"Census Tract 402.02","Cook County","Illinois","3.29%",1111,26,182,18,1337,44,3.29094988780853
"Census Tract 403","Cook County","Illinois","4.55%",559,18,49,11,637,29,4.55259026687598
"Census Tract 404.01","Cook County","Illinois","7.33%",562,35,133,20,750,55,7.33333333333333
"Census Tract 404.02","Cook County","Illinois","8.45%",689,45,297,46,1077,91,8.44939647168059
"Census Tract 406","Cook County","Illinois","6.23%",398,18,114,16,546,34,6.22710622710623
"Census Tract 407","Cook County","Illinois","4.66%",610,17,147,20,794,37,4.65994962216625
"Census Tract 408","Cook County","Illinois","4.82%",281,9,94,10,394,19,4.82233502538071
"Census Tract 409","Cook County","Illinois","5.87%",292,12,109,13,426,25,5.86854460093897
"Census Tract 501","Cook County","Illinois","4.05%",422,13,147,11,593,24,4.04721753794266
"Census Tract 502","Cook County","Illinois","3.03%",990,26,164,10,1190,36,3.02521008403361
